species,longitude,latitude
sargassum_muticum,-158.117,21.3167
sargassum_muticum,-158.117,21.3167
sargassum_muticum,-158.117,21.3167
sargassum_muticum,-134.588,34.64
sargassum_muticum,-134.588,34.64
sargassum_muticum,-134.25,55.88
sargassum_muticum,-133.57,33.3483
sargassum_muticum,-133.482559,55.798315
sargassum_muticum,-133.482559,55.798315
sargassum_muticum,-133.482559,55.798315
sargassum_muticum,-133.482559,55.798315
sargassum_muticum,-133.48,55.8
sargassum_muticum,-133.14,55.46
sargassum_muticum,-132.490033,55.75473
sargassum_muticum,-132.490033,55.75473
sargassum_muticum,-131.96,53.33
sargassum_muticum,-131.96,53.33
sargassum_muticum,-131.96,53.33
sargassum_muticum,-131.6,55.3
sargassum_muticum,-130.46,54.51
sargassum_muticum,-130.46,54.51
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-130.33,54.21
sargassum_muticum,-129.2,49
sargassum_muticum,-128.7,52.31
sargassum_muticum,-128.7,50.5
sargassum_muticum,-128.68,52.28
sargassum_muticum,-128.49,52.38
sargassum_muticum,-128.119,51.651
sargassum_muticum,-128.118667,51.651333
sargassum_muticum,-128.11,52.19
sargassum_muticum,-128.08,52.21
sargassum_muticum,-128.08,52.18
sargassum_muticum,-127.94,50.1
sargassum_muticum,-127.91,51.54
sargassum_muticum,-127.73,50.12
sargassum_muticum,-127.7,50.13
sargassum_muticum,-127.7,50.1
sargassum_muticum,-127.65,50.11
sargassum_muticum,-127.6,50.1
sargassum_muticum,-127.56,50.09
sargassum_muticum,-127.54,50.09
sargassum_muticum,-127.54,50.09
sargassum_muticum,-127.5,50.2
sargassum_muticum,-127.5,50.2
sargassum_muticum,-127.5,50.2
sargassum_muticum,-127.5,50.2
sargassum_muticum,-127.5,50.2
sargassum_muticum,-127.5,50.1
sargassum_muticum,-127.5,50.1
sargassum_muticum,-127.43,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.4,50
sargassum_muticum,-127.26,49.92
sargassum_muticum,-127.25,49.98
sargassum_muticum,-127.23,50
sargassum_muticum,-127,50
sargassum_muticum,-126.99,49.82
sargassum_muticum,-126.7,49.9
sargassum_muticum,-126.7,49.9
sargassum_muticum,-126.7,49.6
sargassum_muticum,-126.62,49.59
sargassum_muticum,-126.56,49.58
sargassum_muticum,-126.49,49.75
sargassum_muticum,-126.49,49.65
sargassum_muticum,-126.3,49.4
sargassum_muticum,-126.2,50.6
sargassum_muticum,-126,50.6
sargassum_muticum,-126,50.6
sargassum_muticum,-125.833333,49.666667
sargassum_muticum,-125.787222,49.061111
sargassum_muticum,-125.6,48.9
sargassum_muticum,-125.6,48.9
sargassum_muticum,-125.6,48.9
sargassum_muticum,-125.6,48.9
sargassum_muticum,-125.6,48.9
sargassum_muticum,-125.6,48.9
sargassum_muticum,-125.543704,48.933953
sargassum_muticum,-125.543704,48.933953
sargassum_muticum,-125.541043,48.942918
sargassum_muticum,-125.541043,48.942918
sargassum_muticum,-125.4,48.9
sargassum_muticum,-125.37,48.89
sargassum_muticum,-125.31,50.09
sargassum_muticum,-125.3,50
sargassum_muticum,-125.24,48.87
sargassum_muticum,-125.23,48.92
sargassum_muticum,-125.2,48.9
sargassum_muticum,-125.2,48.9
sargassum_muticum,-125.2,48.83
sargassum_muticum,-125.2,48.8
sargassum_muticum,-125.2,48.8
sargassum_muticum,-125.2,48.8
sargassum_muticum,-125.2,48.8
sargassum_muticum,-125.2,48.8
sargassum_muticum,-125.2,48.8
sargassum_muticum,-125.183717,48.813872
sargassum_muticum,-125.18,48.84
sargassum_muticum,-125.17,48.87
sargassum_muticum,-125.16,48.87
sargassum_muticum,-125.16,48.86
sargassum_muticum,-125.16,48.82
sargassum_muticum,-125.15,48.833333
sargassum_muticum,-125.15,48.83
sargassum_muticum,-125.14,48.88
sargassum_muticum,-125.14,48.84
sargassum_muticum,-125.14,48.82
sargassum_muticum,-125.13,48.9
sargassum_muticum,-125.13,48.84
sargassum_muticum,-125.13,48.84
sargassum_muticum,-125.13,48.84
sargassum_muticum,-125.13,48.84
sargassum_muticum,-125.12,48.9
sargassum_muticum,-125.12,48.88
