longitude,latitude
5.258118,59.417838
5.279713,59.359863
5.289173,59.346222
10.403642,59.059292
5.562859,58.985349
9.865299,58.971586
9.097259,58.616918
8.276946,58.158188
8.16223,58.122455
8.210704,58.1201
7.951667,58.085408
7.963853,58.083325
7.907477,58.070224
7.967402,58.064391
7.706458,58.050376
7.665564,58.023328
10.62,57.75
10.62,57.75
10.62,57.75
9.966667,57.583333
9.966667,57.583333
9.966667,57.583333
9.97,57.580002
9.88,57.529999
9.88,57.529999
10.62,57.5
10.62,57.5
10.62412,57.48539
10.6,57.48
10.53,57.43
10.93,57.369999
10.92,57.349998
10.9,57.349998
10.92,57.349998
10.92,57.349998
10.92,57.349998
10.92,57.349998
10.92,57.349998
11.02,57.299999
10.87,57.27
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
11,57
10,57
10,57
10,57
9,57
10,57
8.37,56.970001
9.18,56.82
8.87,56.77
9.18,56.700001
8.33,56.68
8.33,56.68
8.33,56.68
8.33,56.68
8.33,56.68
9.2,56.68
8.33,56.68
8.33,56.68
8.35,56.68
8.35,56.68
8.35,56.68
8.35,56.68
8.35,56.68
8.35,56.68
8.35,56.68
8.33,56.68
8.67,56.669998
8.25,56.599998
8.57,56.580002
8.57,56.580002
8.57,56.580002
10.7,56.529999
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
8.62,56.52
12.55,56.080002
12.52,56.080002
12.03,56.029999
8,56
8,56
8,56
8,56
8,56
8,56
8,56
9,56
9,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
8,56
9,56
12,56
12,56
8,56
8,56
-134.25,55.88
-133.48,55.8
-133.482559,55.798315
-133.482559,55.798315
-133.482559,55.798315
-133.482559,55.798315
-132.490033,55.75473
-132.490033,55.75473
8.63,55.630001
