source,source.id,genus,species,country,state.province,county,locality.1,locality.2,latitude,longitude,uncertainty,year,month,day,collector,determination
MHP,969361,Heterosiphonia,japonica,United States,California,San Diego,"South of Beach and Tennis Club, La Jolla",,32.84727,-117.274204,3036,1969,6,2,J. Stewart,
MHP,792119,Heterosiphonia,japonica,Japan,Saga-ken,,"Karatsu, Kyushu",,33.4425,129.969722,3964,1929,5,4,K. Okamura,
MHP,703013,Heterosiphonia,japonica,Japan,Yamaguchi-ken,,"Hando-jima, Heigun-to",,33.775,132.175,,1994,6,3,S. Enomoto,
MHP,1059984,Dasysiphonia,japonica,Japan,,,"Igaya Bay, Miyakejima Izu Islands",,34.102057,139.485402,,1973,3,10,"Brawley, SH",
MHP,164785,Heterosiphonia,japonica,United States,California,Santa Barbara,"Naples Reef, SCUBA, Santa Barbara, CA",,34.422222,-119.952774,2107,1979,8,10,A. C. Mathieson,
MHP,262373,Dasysiphonia,japonica,Japan,Shizuoka,,"Honshu, Shimoda-shi, Tohji",,34.633333,138.833333,,1986,3,13,Jiro Tanaka,
MHP,792116,Heterosiphonia,japonica,Japan,Shizuoka-ken,,"Honshu, Shizuoka prefecture, Shimoda-shi, Tohji",on rocks in the subtidal zone,34.633333,138.833333,,1986,3,13,Jiro Tanaka,
MHP,792126,Heterosiphonia,japonica,Japan,Shizuoka-ken,,"Onmaesaki, Toomi province [Omaezaki]",,34.648144,138.148127,4377,1944,4,22,T. Segi,
MHP,792131,Heterosiphonia,japonica,Japan,Aichi-ken,,"Toyohama, Owari province",,34.708256,136.92887,3920,1947,4,25,K. Inagaki,
MHP,792138,Heterosiphonia,japonica,Japan,Aichi-ken,,"Toyohama, Owari province",,34.711854,136.930586,2403,1947,4,25,K. Inagaki,
MHP,792135,Heterosiphonia,japonica,Japan,Aichi-ken,,"Toyohama, Owari province",,34.712419,136.92578,3031,1947,5,25,K. Inagaki,
MHP,272046,Heterosiphonia,japonica,Japan,Chiba,,"Ohara, Chiba",,35.250561,140.405649,3036,1971,4,25,"Yoshizaki, Makoto",
